Login;Parol;Roli
ivan@mail.ru;IvPe#2023;User
maria@gmail.com;MaSi@2023;User
alex@yandex.ru;AlKo!2023;User
olga@mail.com;OlIv$2023;User
dmitry@inbox.ru;DmSm%2023;User
ekaterina@mail.ru;EkVa^2023;User
artem@gmail.com;ArFe&2023;User
anna@yandex.ru;AnMo*2023;User
pavel@inbox.ru;PaNi(2023);User
tatyana@mail.com;TaBe=2023;User
sergey@gmail.com;SeKo+2023;User
yulia@yandex.ru;YuAn-2023;User
mikhail@mail.ru;MiSo_2023;User
nadezhda@inbox.ru;NaPa~2023;User
andrey@gmail.com;AnLe>2023;User
lyudmila@yandex.ru;LyVi<2023;User
viktor@mail.ru;ViKr|2023;User
elena@inbox.ru;ElGr:2023;User
galina@gmail.com;"GaTi;2023";User
konstantin@yandex.ru;"KoSa""2023";User
oksana@mail.ru;OkRo?2023;User
igor@inbox.ru;IgMe¿2023;User
zoya@gmail.com;ZoKu¡2023;User
stanislav@yandex.ru;StOr«2023»;User
valentina@mail.ru;VaSe§2023;User
anna@store.com;AnKu$2020;Admin
sergey@store.com;SeVo!2021;Admin
elena@store.com;ElBe#2019;Admin
pavel@store.com;PaGr%2022;Admin
natalia@store.com;NaOr&2023;Admin
dmitry@store.com;DmSo*2019;Admin
olga@store.com;OlMe(2020);Admin
artem@store.com;ArIv=2021;Admin
lyudmila@store.com;LyPe+2023;Admin
igor@store.com;IgKo-2020;Admin
tamara@store.com;TaFe_2022;Admin
vladimir@store.com;VlSt~2021;Admin
svetlana@store.com;SvKr>2023;Admin
georgiy@store.com;GePa<2019;Admin
alina@store.com;AlMa|2020;Admin
roman@store.com;RoBo:2022;Admin
valeriya@store.com;"VaTi;2021";Admin
kirill@store.com;"KiMo""2023";Admin
evgeniya@store.com;EvAl?2020;Admin
stanislav@store.com;StGu¿2019;Admin
marina@store.com;MaSe¡2022;Admin
andrey@store.com;AnFr«2021»;Admin
vera@store.com;VeKo§2023;Admin
gleb@store.com;GlNo=2020;Admin
larisa@store.com;LaVo%2022;Admin
